product_name,price,product_url,image_url,category_name
1. KALİTE 500 GR DEVELİ MARKA KURU KINA PAKET FİYATI,"75,00₺",https://istockina.com/urun/1-kalite-500-gr-develi-marka-kuru-kina-paket-fiyati/,https://istockina.com/wp-content/uploads/2025/10/500-GR-KURU-KINA-1-768x1152.jpg,Kina Malzemeleri
50’Lİ ALIMDA GELİN DAMAT GÖZLÜĞÜ,"35,00₺",https://istockina.com/urun/50li-alimda-gelin-damat-gozlugu/,https://istockina.com/wp-content/uploads/2025/10/gelin-damat-gozluk.webp-768x1152.jpg,Kina Malzemeleri
KIRMIZI KUMAŞ GÜLLÜ 30 CM ŞEFFAF APLİK SÜSLEMELİ TEF,"180,00₺",https://istockina.com/urun/kirmizi-kumas-gullu-30-cm-seffaf-aplik-suslemeli-tef/,https://istockina.com/wp-content/uploads/2025/10/kirmizi-aplik-tef-768x1152.jpg,Kina Malzemeleri
MOR KAĞIT GÜLLÜ 12’Lİ NEDİME BİLEKLİĞİ,"48,00₺",https://istockina.com/urun/mor-kagit-gullu-12li-nedime-bilekligi/,https://istockina.com/wp-content/uploads/2025/10/mor-kagit-gullu-12-nedie-bilekligi-768x1152.jpg,Kina Malzemeleri
GOLD KAĞIT GÜLLÜ 12’Lİ NEDİME BİLEKLİĞİ,"48,00₺",https://istockina.com/urun/gold-kagit-gullu-12li-nedime-bilekligi/,https://istockina.com/wp-content/uploads/2025/10/gold-kagit-gullu-12-nedme-bilekligi-768x1152.jpg,Kina Malzemeleri
PUDRA ÖRGÜLÜ TAŞLI GELİN KEMERİ,"21,00₺",https://istockina.com/urun/pudra-orgulu-tasli-gelin-kemeri/,https://istockina.com/wp-content/uploads/2025/10/pudra-orgulu-tasli-gelin-kemeri-768x1152.jpg,Kina Malzemeleri
BORDO BEYAZ SÜSLÜ PONPON KINA SEPET TEPSİ TAKIMI,"390,00₺",https://istockina.com/urun/bordo-beyaz-suslu-ponpon-kina-sepet-tepsi-takimi/,https://istockina.com/wp-content/uploads/2025/10/bordo-beyaz-ponpon-sepet-tepsi--768x1152.jpg,Kina Malzemeleri
KIRMIZI BEYAZ SÜSLÜ PONPON KINA SEPET TEPSİ TAKIMI,"390,00₺",https://istockina.com/urun/kirmizi-beyaz-suslu-ponpon-kina-sepet-tepsi-takimi/,https://istockina.com/wp-content/uploads/2025/10/KIRMIZI-BEYAZ-PONPON-SEPET-TEPSI--768x1152.jpg,Kina Malzemeleri
BORDO SÜSLÜ PONPON KINA SEPET TEPSİ TAKIMI,"390,00₺",https://istockina.com/urun/bordo-suslu-ponpon-kina-sepet-tepsi-takimi/,https://istockina.com/wp-content/uploads/2025/10/BORDO-PONPON-SEPET-TEPSI--768x1152.jpg,Kina Malzemeleri
GELİN DAMAT GÖZLÜĞÜ,"65,00₺",https://istockina.com/urun/gelin-damat-gozlugu/,https://istockina.com/wp-content/uploads/2025/10/siyah-beyaz-gozluk-768x1152.jpg,Kina Malzemeleri
BORDO KUMAŞ GÜLLÜ 30 CM ŞEFFAF APLİK SÜSLEMELİ TEF,"180,00₺",https://istockina.com/urun/bordo-kumas-gullu-30-cm-seffaf-aplik-suslemeli-tef/,https://istockina.com/wp-content/uploads/2025/10/kirmizi-aplik-tef-1-768x1152.jpg,Kina Malzemeleri
YEŞİL NEDİME BİLEKLİĞİ İNCİLİ 10’LU,"66,00₺",https://istockina.com/urun/yesil-nedime-bilekligi-incili-10lu/,https://istockina.com/wp-content/uploads/2025/10/YESIL-NEDIME-BILEKLIGI-INCILI-768x1152.jpg,Kina Malzemeleri
LACİVERT NEDİME BİLEKLİĞİ İNCİLİ 10’LU,"66,00₺",https://istockina.com/urun/lacivert-nedime-bilekligi-incili-10lu/,https://istockina.com/wp-content/uploads/2025/10/LACIVERT-NEDIME-BILEKLIGI-INCILI-768x1152.jpg,Kina Malzemeleri
kına sepeti tabağı GÜMÜŞ 1 adet,"15,00₺",https://istockina.com/urun/kina-sepeti-tabagi-gumus-1-adet/,https://istockina.com/wp-content/uploads/2025/10/GUMUS-KINA-TABAGI-768x1152.jpg,Kina Malzemeleri
İNCİLİ TURUNCU KUMAŞ GÜLLÜ GÜPÜRLÜ NEDİME BİLEKLİĞİ 10’LU,"54,00₺",https://istockina.com/urun/incili-turuncu-kumas-gullu-gupurlu-nedime-bilekligi-10lu/,https://istockina.com/wp-content/uploads/2025/10/INCILI-TURUNCU-GUPURLU-NEDIME-BILEKLIGI-768x1152.jpg,Kina Malzemeleri
KIRMIZI NEDİME BİLEKLİĞİ İNCİLİ 10’LU,"66,00₺",https://istockina.com/urun/kirmizi-nedime-bilekligi-incili-10lu/,https://istockina.com/wp-content/uploads/2025/10/KIRMIZI-NEDIME-BILEKLIGI-768x1152.jpg,Kina Malzemeleri
BEYAZ NEDİME BİLEKLİĞİ İNCİLİ 10’LU,"66,00₺",https://istockina.com/urun/beyaz-nedime-bilekligi-incili-10lu/,https://istockina.com/wp-content/uploads/2025/10/beyaz-incili-nedime-bilekligi-768x1152.jpg,Kina Malzemeleri
